caption,sentiment_label,like_count,comment_count,engagement_rate
selamat dan sukses politeknik elektronika negeri tempat ranking guru tinggi di indonesia untuk kategori inovasi baik tahun versi scimago institutions ranking politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi banggapens sir,positive,1937,9,6.215663728120608
selamat dan sukses atas diri ieee student branch politeknik elektronika negeri ieee student branch rupa sub organisasi dari ieee untuk para mahasiswa ieee sendiri rupa organisasi yang taung para enggineer ahli akademisi dan ajar yang fokus bidang elektro dan elektronika yang ada di seluruh dunia untuk counselor dan para student branch selamat emban amanah politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi ieee ieeestudentbranch,positive,1935,5,6.196499297304204
halo sobatpens dua puluh enam mahasiswa pens telah lolos dan akan berangkat untuk ikut program indonesia international student mobility award iisma yuk intip siapa dan mana saja mereka akan berangkat politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi lanjutkanmerdekabelajar hardiknas,positive,1874,45,6.129423789446787
kembali bukti unggul di kancah vokasi tim yang anggota mahasiswa sarjana terap teknik komputer pens sukses toreh prestasi pada olimpiade vokasi indonesia olivia ke di universitas brawijaya lewat inovasi nama smartmedbox tim bayuraksaka raih juara bidang information technology tangkai lomba smart systems iot dalam kompetisi yang langsung sejak selasa hingga kamis sebut capai ini oleh usai presentasi dan demonstrasi cara luring lawan tujuh final lain asal bagai guru tinggi di indonesia berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi banggapens oliviax smartmedbox,positive,1877,7,6.017631276351092
alhamdulillah selamat untuk politeknik elektronika negeri hasil dapat peringkat politeknik baik indonesia dan masuk dalam guru tinggi baik di indonesia versi webometrics juli politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia webometrics,positive,1830,16,5.896256547847196
selamat dan sukses kepada program studi yang dapat akreditas unggul dasar putus lembaga akreditasi mandiri informatika komputer lam infokom dan lembaga akreditasi mandiri program studi teknik lam teknik politeknik politeknikjoss pens pensjoss kampusinovasi banggapens akreditasi akreditasiunggul,positive,1836,9,5.893062476044462
bangga yang luar biasa selamat atas capai gemilang kontingen pens dalam oleh peringkat dari guru tinggi pada pekan ilmiah mahasiswa nasional pimnas ke dengan kerja keras dan dedikasi yang tinggi kita bukti bahwa mimpi besar dapat wujud terus inspirasi dan inovasi politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusvokasi kampusinovasi pimnasunair,positive,1839,4,5.886674332438993
sidang buka senat dan studium genarale dalam rangka kukuh mahasiswa baru tahun akademik langsung cara hybrid pada hari jumat yang tempat di lapang merah gedung d pens dan ikut cara daring lalu platform video confrence oleh mahasiswa baru dari program studi luar kampus utama psdku lamongan maupun sumenep giat sebut jadi moment penting bagi mahasiswa baru yang cara resmi jadi bagi dari keluarga besar pens dalam sempat sebut pens turut undang aun abdul wadud selaku group head svp solution architect dan technical account mgmt yang juga rupa alumni pens bagai narasumber dalam sesi studium generale dengan kukuh mahasiswa baru ini harap mereka mampu beri kontribusi nyata dalam hidup kuliah berita lengkap dapat baca di politeknik politeknikjoss pensjoss vokasikuatmenguatkanindonesia kampusvokasi kampusinovasi mabapens pkkmb,positive,1833,2,5.86112175801712
halo sobatpens pasuk libur semester tentu ada momen yang sudah pasti akan rindu para mahasiswa di tengah hirukpikuk giat kampus mahasiswa juga ajar untuk harga waktu sama temanteman dukung satu sama lain dan ukir kenangankenangan kecil yang tidak mungkin lupa yuk cek postingan ikut kirakira momen apa nih yang paling relate sama hidup kampus politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi galeripens,positive,1751,83,5.857927686214386
selamat dan sukses kami dengan bangga ucap selamat kepada mahasiswa pens yang pilih bagai awardee student exchange program di kanagawa institute of technology japan program sebut akan langsung pada februari maret daftar mahasiswa prestasi yang hasil harum nama pens lvana yudith waluyo s terap teknik informatika dan komputer dafit ody endriantono str teknik elektronika arifah shafyan str sains data terap muhammad amir abdurrozaq str teknik informatika muhammad rafi rizaldi str teknik informatika muhammad hariz izzudin str lj teknik informatika fuad zaki nurrahman str teknologi rekayasa multimedia moga alam ini dapat beri inspirasi serta wawas baru untuk terus inovasi dan kuat didik vokasi indonesia di kancah global politeknik pens kampusinovasi politeknikjoss vokasikuatmenguatkanindonesia kaittechnical japan pensjoss,positive,1796,17,5.790852178356969
sebentar lagi kita akan raya hut merdeka ri ke meski tengah pandemi covid kita harus tetap semangat raya cara virtual dengan guna twibbon pada link ikut bagi yang sudah mendownload twibbon ini silah guna bagai foto profil serta unggah ke media sosial instagram facebook dan twitter dengan caption yang tarik jangan lupa untuk tag akun penseepis politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia dirgahayuri,positive,1798,10,5.774881819343299
dosen teknik elektronika politeknik elektronika negeri pens dr firman arifin st mt hasil kembang alat hitung suara dengan cepat dan aman kembang aplikasi sebut harap dapat bantu kurang curang hitung suara yang kerap jadi isu besar dalam tiap momen selenggara milu selain itu untuk bantu proses hitung suara jadi lebih mudah entri data laku guna aplikasi whatsapp yang sumber dari data dasar inovasi aplikasi ini sudah guna oleh instansi perintah beberapa calon legslatif caleg atau partai dalam kembang libat beberapa mahasiswa dari beberapa program studi politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusvokasi kampustradisijuara kampusinovasi milu,positive,1791,16,5.771687747540565
banyak mahasiswa usai ikut sidang buka senat wisuda ke pens pada sabtu dan minggu arasy dafa sulistya kurniawan mahasiswa program studi d teknik telekomunikasi jadi salah satu mahasiswa yang kukuh bagai wisudawan pens ke arasy sukses jadi salah satu wisudawan yang lulus dengan puji atau dapat predikat cumlaude sukses yang raih rupa hasil dari usaha dan kerja keras yang laku cara konsisten untuk wujud impi berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia,positive,1750,52,5.755717388526894
jakarta politeknik elektronika negeri pens kembali toreh prestasi nasional dengan terima harga years of impact award dari pertamina foundation dalam kick off pertamina goes to campus pgtc yang ada di ballroom grha pertamina jakarta pada kamis pens jadi satusatunya politeknik di indonesia yang raih harga ini bagai bentuk apresiasi atas kontribusi aktif dalam lahir wirausaha muda dampak lalu program pertamuda seed scale lama periode wakil direktur bidang mahasiswa dan alumni kholid fathoni skom mt sampai bahwa harga ini jadi bukti nyata atas komitmen pens dalam dukung kembang startup bas teknologi lalu program inkubator bisnis penssky venture kampus terus dorong inovasi dan kolaborasi antara mahasiswa akademisi serta industri politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens pertaminagoestocampus,positive,1780,4,5.69822409607768
selamat datang mahasiswa baru pens siap langkah pertama tuju masa depan gemilang sama keluarga besar politeknik elektronika negeri agenda psikotest agustus kampus pens mari satu karya dan inovasi untuk indonesia yang lebih maju satgasppkpt satgasppkptpens pensantikekerasan bersamaciptakanpensaman kampusberdampak,positive,1705,63,5.647118947233934
halo sobatpens kalian calon mahasiswa baru pens punya impi jadi engineer muda pens hadir jadi pilih yang tepat untuk kalian nah belum itu kirakira sudah jauh mana siap kalian untuk jadi bagi dari pens atau janganjangan sudah siap banget informasi daftar mahasiswa baru kunjung pergi ke kampus pakai motor butut jika mau tau lebih lanjut yuk tonton reels ikut reporter dian kurniawati videografer ezar muhammad ilham politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi katakatahariini pmb,positive,1677,62,5.554490864954644
pengukuhun guru besar pens dengan bangga kami informasi bahwa kampus pens akan kembali kukuh lima guru besar pada hari senin februari jam wib tempat auditorium gd pascasarjana lt kami ucap selamat dan sukses kepada prof dr ir era purwanto meng guru besar ke prof dr mike yuliana st mt guru besar ke prof dr arman jaya st mt guru besar ke prof dreng indra adji sulistijono st meng guru besar ke prof moch zen samsono had st msc phd guru besar ke yang akan kukuh pada hari sebut moga hasil ini makin beri kontribusi besar bagi ilmu tahu dan maju akademik politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi banggapens gurubesar profesor,positive,1714,7,5.49699757250543
usai kenal hidup kampus bagi mahasiswa baru pkkmb lama tiga hari pens juga hadir technogear dan minat bakat expo mbex sejak kamis hingga sabtu bagai agenda utama dalam sambut mahasiswa baru dua giat ini jadi wadah bentuk karakter kuat identitas organisasi mahasiswa sekaligus teguh citra pens bagai institusi vokasi unggul banyak mahasiswa baru dari jenjang studi diploma tiga dan sarjana terap dari kampus utama turut partisipasi cara penuh guna tunjang peran bagai keluarga mahasiswa pens berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi banggapens pkkmbxtechnogear,positive,1718,2,5.493803500702696
dalam rangka siap mahasiswa untuk berkarir di jepang buah program bekal intensif bahasa jepang tengah langsung mulai senin hingga minggu program bekal yang helat di ruang kelas lt gedung pascasarjana pens ini rancang untuk pasti para mahasiswa milik terampil bahasa dan tahu budaya yang pada belum mulai karir mereka di jepang giat ajar sebut rupa bagi dari kerja sama pens dengan japanindonesia investment management jiim usaha yang jadi jembatan kolaborasi investasi antara jepang dan indonesia berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi kampusvokasi jiim kelasbahasajepang,positive,1695,10,5.445892423661683
scimago institutions rankings sir resmi rilis peringkat kampus baik kategori inovasi baik di indonesia dan dunia politeknik elektronika negeri hasil tahan di ranking pertama kategori inovasi guru tinggi di indonesia di ketegori inovasi gurur tinggi politeknik baik di dunia pens hasil naik delapan peringkat dari tahun belum terima kasih kepada seluruh civitas akademika politeknik elektronika negeri kontribusi inovasi serta kerja keras untuk maju kampus cinta politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi sir,positive,1687,12,5.426727992845279
